Personaje,Actor,Pelicula,Año
Museum Patron,Brenda Sampson,Capitán América y el Soldado del Invierno,2014
Military Soldier,Mako San,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Lynda Santa,Capitán América y el Soldado del Invierno,2014
Mall Patron,Melissa Santiago,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Jason G. Sarris,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Debbie Scaletta,Capitán América y el Soldado del Invierno,2014
S.H.I.E.L.D. Agent,Tim Scanlon,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Robert B. Schneider IV,Capitán América y el Soldado del Invierno,2014
SHIELD Security Guard,Jeff Seich,Capitán América y el Soldado del Invierno,2014
Committee General,Nestor Serrano,Capitán América y el Soldado del Invierno,2014
Scared Driver,Bianca Seul,Capitán América y el Soldado del Invierno,2014
Mall Patron,Tom Shafer,Capitán América y el Soldado del Invierno,2014
DC Driver,Christina Shaffer,Capitán América y el Soldado del Invierno,2014
SHIELD Security,Joel Shock,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Michael Simpson Jr.,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Matthew Skomo,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Kevin Slone,Capitán América y el Soldado del Invierno,2014
Museum Guest,Al Sotto,Capitán América y el Soldado del Invierno,2014
Husband,Jason Speer,Capitán América y el Soldado del Invierno,2014
Anaesthesist,Darryl D. Stewart,Capitán América y el Soldado del Invierno,2014
DC Businessman,Patrick Michael Strange,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Jason Tait,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Derek Talib,Capitán América y el Soldado del Invierno,2014
Pietro Maximoff,Aaron Taylor-Johnson,Capitán América y el Soldado del Invierno,2014
Civilian,Simmie Terrell,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Joel Thingvall,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Robert P. Thitoff,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,B.A. Tobin,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Nicole Tubbs,Capitán América y el Soldado del Invierno,2014
Riley,Ron Underdahl,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Jason L. Wang,Capitán América y el Soldado del Invierno,2014
Baseball Coach,Christopher Warner,Capitán América y el Soldado del Invierno,2014
SAG Vehicle Driver,Lawrence Whitener,Capitán América y el Soldado del Invierno,2014
Doctor,Joseph Wilson,Capitán América y el Soldado del Invierno,2014
Mall Patron,Jasmine With,Capitán América y el Soldado del Invierno,2014
Boy in Captain America Suit,Xavier Wolf,Capitán América y el Soldado del Invierno,2014
French Pirate/SHIELD Strike Agent,Travis Wong,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Theresa Wylie,Capitán América y el Soldado del Invierno,2014
Hydra Soldier,Mitchell Yee,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,Jimmel Young,Capitán América y el Soldado del Invierno,2014
